OrderID,ProductCode,QuantityOrdered,PriceEach,OrderDate,City,Country,TotalSales
10145,S10_1678,45,83.26,8/25/2003 0:00,Pasadena,USA,3746.7000000000003
10159,S10_1678,49,100.0,10.10.03 00:00,San Francisco,USA,4900.0
10168,S10_1678,36,96.66,10/28/2003 0:00,Burlingame,USA,3479.7599999999998
10180,S10_1678,29,86.13,11.11.03 00:00,Lille,France,2497.77
10188,S10_1678,48,100.0,11/18/2003 0:00,Bergen,Norway,4800.0
10201,S10_1678,22,98.57,12.01.03 00:00,San Francisco,USA,2168.54
10211,S10_1678,41,100.0,1/15/2004 0:00,Paris,France,4100.0
10223,S10_1678,37,100.0,2/20/2004 0:00,Melbourne,Australia,3700.0
10237,S10_1678,23,100.0,04.05.04 00:00,NYC,USA,2300.0
10251,S10_1678,28,100.0,5/18/2004 0:00,Newark,USA,2800.0
10263,S10_1678,34,100.0,6/28/2004 0:00,Bridgewater,USA,3400.0
10275,S10_1678,45,92.83,7/23/2004 0:00,Nantes,France,4177.35
10285,S10_1678,36,100.0,8/27/2004 0:00,Cambridge,USA,3600.0
10299,S10_1678,23,100.0,9/30/2004 0:00,Helsinki,Finland,2300.0
10309,S10_1678,41,100.0,10/15/2004 0:00,Stavern,Norway,4100.0
10318,S10_1678,46,94.74,11.02.04 00:00,Allentown,USA,4358.04
10329,S10_1678,42,100.0,11/15/2004 0:00,NYC,USA,4200.0
10341,S10_1678,41,100.0,11/24/2004 0:00,Salzburg,Austria,4100.0
10361,S10_1678,20,72.55,12/17/2004 0:00,Chatswood,Australia,1451.0
10375,S10_1678,21,34.91,02.03.05 00:00,Nantes,France,733.1099999999999
10388,S10_1678,42,76.36,03.03.05 00:00,New Bedford,USA,3207.12
10403,S10_1678,24,100.0,04.08.05 00:00,Liverpool,UK,2400.0
10417,S10_1678,66,100.0,5/13/2005 0:00,Madrid,Spain,6600.0
10103,S10_1949,26,100.0,1/29/2003 0:00,Stavern,Norway,2600.0
10112,S10_1949,29,100.0,3/24/2003 0:00,Lule,Sweden,2900.0
10126,S10_1949,38,100.0,5/28/2003 0:00,Madrid,Spain,3800.0
10140,S10_1949,37,100.0,7/24/2003 0:00,Burlingame,USA,3700.0
10150,S10_1949,45,100.0,9/19/2003 0:00,Singapore,Singapore,4500.0
10163,S10_1949,21,100.0,10/20/2003 0:00,NYC,USA,2100.0
10174,S10_1949,34,100.0,11.06.03 00:00,South Brisbane,Australia,3400.0
10183,S10_1949,23,100.0,11/13/2003 0:00,Philadelphia,USA,2300.0
10194,S10_1949,42,100.0,11/25/2003 0:00,Lyon,France,4200.0
10206,S10_1949,47,100.0,12.05.03 00:00,Vancouver,Canada,4700.0
10215,S10_1949,35,100.0,1/29/2004 0:00,Burbank,USA,3500.0
10228,S10_1949,29,100.0,03.10.04 00:00,Cambridge,USA,2900.0
10245,S10_1949,34,100.0,05.04.04 00:00,New Haven,USA,3400.0
10258,S10_1949,32,100.0,6/15/2004 0:00,Minato-ku,Japan,3200.0
10270,S10_1949,21,100.0,7/19/2004 0:00,Chatswood,Australia,2100.0
10280,S10_1949,34,100.0,8/17/2004 0:00,Torino,Italy,3400.0
10291,S10_1949,37,100.0,09.08.04 00:00,Boras,Sweden,3700.0
10304,S10_1949,47,100.0,10.11.04 00:00,Versailles,France,4700.0
10312,S10_1949,48,100.0,10/21/2004 0:00,San Rafael,USA,4800.0
10322,S10_1949,40,100.0,11.04.04 00:00,Nashua,USA,4000.0
10333,S10_1949,26,100.0,11/18/2004 0:00,San Francisco,USA,2600.0
10347,S10_1949,30,100.0,11/29/2004 0:00,Melbourne,Australia,3000.0
10357,S10_1949,32,100.0,12.10.04 00:00,San Rafael,USA,3200.0
10369,S10_1949,41,100.0,1/20/2005 0:00,Brickhaven,USA,4100.0
10381,S10_1949,36,100.0,2/17/2005 0:00,San Francisco,USA,3600.0
10391,S10_1949,24,100.0,03.09.05 00:00,North Sydney,Australia,2400.0
10411,S10_1949,23,100.0,05.01.05 00:00,Montreal,Canada,2300.0
10424,S10_1949,50,100.0,5/31/2005 0:00,Madrid,Spain,5000.0
10107,S10_2016,39,99.91,2/24/2003 0:00,NYC,USA,3896.49
10120,S10_2016,29,96.34,4/29/2003 0:00,Melbourne,Australia,2793.86
10145,S10_2016,37,100.0,8/25/2003 0:00,Pasadena,USA,3700.0
10159,S10_2016,37,100.0,10.10.03 00:00,San Francisco,USA,3700.0
10168,S10_2016,27,100.0,10/28/2003 0:00,Burlingame,USA,2700.0
10180,S10_2016,42,100.0,11.11.03 00:00,Lille,France,4200.0
10188,S10_2016,38,96.34,11/18/2003 0:00,Bergen,Norway,3660.92
10201,S10_2016,24,100.0,12.01.03 00:00,San Francisco,USA,2400.0
10210,S10_2016,23,100.0,01.12.04 00:00,Osaka,Japan,2300.0
10223,S10_2016,47,100.0,2/20/2004 0:00,Melbourne,Australia,4700.0
10236,S10_2016,22,100.0,04.03.04 00:00,Philadelphia,USA,2200.0
10251,S10_2016,44,100.0,5/18/2004 0:00,Newark,USA,4400.0
10263,S10_2016,40,100.0,6/28/2004 0:00,Bridgewater,USA,4000.0
10275,S10_2016,22,100.0,7/23/2004 0:00,Nantes,France,2200.0
10285,S10_2016,47,100.0,8/27/2004 0:00,Cambridge,USA,4700.0
10298,S10_2016,39,96.34,9/27/2004 0:00,Nantes,France,3757.26
10308,S10_2016,34,100.0,10/15/2004 0:00,White Plains,USA,3400.0
10318,S10_2016,45,100.0,11.02.04 00:00,Allentown,USA,4500.0
10329,S10_2016,20,100.0,11/15/2004 0:00,NYC,USA,2000.0
10339,S10_2016,40,68.92,11/23/2004 0:00,Minato-ku,Japan,2756.8
10361,S10_2016,26,51.15,12/17/2004 0:00,Chatswood,Australia,1329.8999999999999
